ID,Gross,Annual Pension,Annual Tax,Monthly Net,Date
1,50000.0,48000.0,16912.0,44590.666666666664,2025-08-27 04:34:03.016089
2,700000.0,672000.0,1227776.0,541685.3333333333,2025-08-27 04:35:59.919967
3,950000.0,912000.0,1328000.0,763333.3333333333,2025-08-27 04:40:25.046532
4,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 09:20:15.454387
5,5000000.0,4800000.0,1328000.0,4489333.333333333,2025-08-27 09:20:46.907310
6,250000.0,240000.0,309680.0,204193.3333333333,2025-08-27 10:46:58.674464
7,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 11:04:02.762136
8,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 11:04:22.469835
9,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 11:04:35.697156
10,300000.0,288000.0,402416.0,242465.33333333334,2025-08-27 11:05:12.287947
11,150000.0,144000.0,133712.0,126857.33333333334,2025-08-27 11:09:04.399851
12,150000.0,144000.0,133712.0,126857.33333333334,2025-08-27 11:09:16.985211
13,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 11:10:02.709153
14,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 11:17:14.612427
15,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 11:17:20.749981
16,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 11:23:03.753997
17,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 11:23:42.586236
18,950000.0,912000.0,1328000.0,763333.3333333333,2025-08-27 11:23:46.687967
19,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 11:24:17.100474
20,200000.0,192000.0,217616.0,165865.3333333333,2025-08-27 11:54:16.819280
